geoid,county,type,source,as_of,filing_announced
45041000700,Florence,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45041002600,Florence,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45043920601,Georgetown,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45043920602,Georgetown,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45045000900,Greenville,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45045002505,Greenville,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45045003401,Greenville,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45045003602,Greenville,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45045003906,Greenville,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45045004400,Greenville,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45047970102,Greenwood,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45047970401,Greenwood,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45049920201,Hampton,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45051050600,Horry,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45051050700,Horry,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45051051406,Horry,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45051070300,Horry,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45053950301,Jasper,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45055970902,Kershaw,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45057010700,Lancaster,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45057010800,Lancaster,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45059920503,Laurens,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45059920600,Laurens,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45061920302,Lee,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45063020100,Lexington,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45063020300,Lexington,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45063020513,Lexington,Non-rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45067950200,Marion,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45067950600,Marion,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45069960100,Marlboro,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45069960302,Marlboro,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45065920300,McCormick,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45071950502,Newberry,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45073030403,Oconee,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45073030701,Oconee,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45075010200,Orangeburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45075010400,Orangeburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45075011100,Orangeburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
45075011300,Orangeburg,Rural,SC Commerce Final Recommendations PDF dated 2026-09-22; Governor filing announced 2026-09-23,2026-09-23,2026-09-23
